STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Shaheen 2014 Senate D,Brown 2014 Senate R
NH,NH House Rockingham 22,"1,562","1,448","1,462","1,558","1,023","1,254"
NH,NH House Rockingham 23,"1,667","1,366","1,617","1,457","1,167","1,166"
NH,NH House Rockingham 24,"2,692","1,858","2,326","2,292","1,838","1,903"
NH,NH House Rockingham 25,"1,839",789,"1,783",773,"1,307",546
NH,NH House Rockingham 26,"2,296",678,"2,169",765,"1,538",591
NH,NH House Rockingham 27,"1,528",779,"1,631",862,"1,078",637
NH,NH House Rockingham 28,"1,374",812,"1,393",902,959,655
NH,NH House Rockingham 29,"1,874",574,"1,872",786,"1,346",591
NH,NH House Rockingham 30 (F),"7,383","2,853","7,217","3,226","5,150","2,383"
NH,NH House Rockingham 31 (F),"4,757","3,593","4,710","3,877","3,268","3,057"
NH,NH House Rockingham 32 (F),"4,367","6,056","4,632","5,581","3,436","4,047"
NH,NH House Rockingham 33 (F),"2,970","4,438","3,115","4,037","2,146","3,030"
NH,NH House Rockingham 34 (F),"6,731","10,393","6,869","10,149","4,551","7,566"
NH,NH House Rockingham 35 (F),"2,487","3,406","2,523","3,372","1,724","2,561"
NH,NH House Rockingham 36 (F),"11,867","7,601","11,356","8,466","8,154","6,248"
NH,NH House Rockingham 37 (F),"7,220","8,367","7,421","7,870","4,694","6,156"
NH,NH House Strafford 01,"1,136","1,941","1,520","1,563",965,"1,137"
NH,NH House Strafford 02,"1,127","1,785","1,545","1,429",912,959
NH,NH House Strafford 03,"1,696","2,277","1,934","2,103","1,452","1,504"
NH,NH House Strafford 04,"2,375","2,469","2,577","2,271","1,801","1,623"
NH,NH House Strafford 05,"1,630",824,"1,621",921,"1,184",718
NH,NH House Strafford 06,"7,133","2,872","5,747","2,683","3,443","1,672"
NH,NH House Strafford 07,"1,071","1,407","1,265","1,204",838,875
NH,NH House Strafford 08,947,"1,009","1,212",916,712,588
NH,NH House Strafford 09,"1,150","1,425","1,263","1,260",867,883
NH,NH House Strafford 10,"1,017","1,370","1,249","1,259",761,796
NH,NH House Strafford 11,"1,048","1,190","1,250",965,797,740
NH,NH House Strafford 12,"1,034","1,388","1,254","1,212",834,786
NH,NH House Strafford 13,"1,863",733,"1,804",761,"1,176",519
NH,NH House Strafford 14,"1,903",856,"1,785",816,"1,158",562
NH,NH House Strafford 15,"1,960","1,298","1,773","1,422","1,319","1,057"
NH,NH House Strafford 16,"1,763","1,152","1,806","1,186","1,221",827
NH,NH House Strafford 17,"3,152","2,464","3,190","2,402","2,145","1,661"
NH,NH House Strafford 18,"2,889","2,612","3,231","2,356","2,125","1,634"
NH,NH House Strafford 19 (F),"3,766","1,589","3,589","1,577","2,334","1,081"
NH,NH House Strafford 20 (F),"3,723","2,450","3,579","2,608","2,540","1,884"
NH,NH House Strafford 21 (F),"6,041","5,076","6,421","4,758","4,270","3,295"
NH,NH House Strafford 22 (F),"2,018","2,416","2,477","2,120","1,550","1,463"
NH,NH House Strafford 23 (F),"2,167","2,795","2,512","2,519","1,628","1,679"
NH,NH House Strafford 24 (F),"2,082","2,578","2,504","2,177","1,631","1,526"
NH,NH House Strafford 25 (F),"4,005","3,293","4,198","3,192","2,985","2,341"
NH,NH House Sullivan 01,"3,136","1,979","3,120","2,081","2,496","1,523"
NH,NH House Sullivan 02,"1,054","1,315","1,112","1,308",845,972
NH,NH House Sullivan 03,716,715,990,596,635,397
NH,NH House Sullivan 04,974,"1,039","1,277",862,884,588
NH,NH House Sullivan 05,839,926,"1,085",689,744,488
NH,NH House Sullivan 06,"1,366","2,138","1,872","1,669","1,318","1,198"
NH,NH House Sullivan 07,"1,084","1,525","1,345","1,208",985,908
NH,NH House Sullivan 08,"1,041","1,159","1,365",856,855,584
NH,NH House Sullivan 09 (F),"5,556","5,432","6,104","5,058","4,659","3,693"
NH,NH House Sullivan 10 (F),"2,529","2,680","3,352","2,147","2,263","1,473"
NH,NH House Sullivan 11 (F),"2,125","2,684","2,710","2,064","1,840","1,492"
