STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Casey 2012 Senate D,Smith 2012 Senate R
PA,PA House 191,"26,681",866,"28,534",699,"26,892",752
PA,PA House 192,"30,449","1,179","32,330","1,029","30,835",997
PA,PA House 193,"7,969","19,907","8,501","17,096","9,006","16,220"
PA,PA House 194,"24,216","8,167","21,660","8,797","21,884","7,790"
PA,PA House 195,"30,511","1,756","31,809","2,140","30,032","2,018"
PA,PA House 196,"8,616","20,562","9,930","17,467","10,284","16,590"
PA,PA House 197,"25,142",925,"26,402",748,"24,422",783
PA,PA House 198,"28,997",767,"31,737",646,"29,807",716
PA,PA House 199,"11,075","17,474","10,677","15,814","10,990","15,106"
PA,PA House 200,"35,487","1,496","37,193","1,881","36,009","1,774"
PA,PA House 201,"28,516",641,"31,263",485,"29,553",556
PA,PA House 202,"17,700","4,260","17,461","3,967","16,834","3,527"
PA,PA House 203,"28,216","1,265","30,169","1,195","28,627","1,201"
