Dist,Incumbent,PVI,Clinton %,Trump %,Obama %,Romney %
SC-01,Joe Cunningham (D),R+10,40.5,53.2,40.1,58.4
SC-02,Joe Wilson (R),R+12,38.1,56.7,36.6,62
SC-03,Jeff Duncan (R),R+19,29,67,33.9,64.6
SC-04,William Timmons (R),R+15,34.2,60,36.2,62.2
SC-05,Ralph Norman (R),R+9,38.8,57.3,43.4,55.3
SC-06,Jim Clyburn (D),D+19,67.1,29.7,73,26
SC-07,Tom Rice (R),R+9,39.2,57.9,44.5,54.5
SD-AL,Dusty Johnson (R),R+14,31.7,61.5,39.9,57.9
TN-01,Phil Roe (R),R+28,19.6,76.4,25.7,72.7
TN-02,Tim Burchett (R),R+20,29.5,64.7,30.9,67.3
TN-03,Chuck Fleischmann (R),R+18,30,65.1,35,63.4
TN-04,Scott DesJarlais (R),R+20,27.2,68.1,33.2,65.2
TN-05,Jim Cooper (D),D+7,56,37.9,55.9,42.5
TN-06,John Rose (R),R+24,23.6,72.3,29.5,69.1
TN-07,Mark Green (R),R+20,28,67,32.9,65.7
TN-08,David Kustoff (R),R+19,30.5,65.8,32.7,66.3
TN-09,Steve Cohen (D),D+28,76.9,19.6,78.5,20.8
TX-01,Louie Gohmert (R),R+25,25.1,71.7,27.5,71.6
TX-02,Dan Crenshaw (R),R+11,42.8,52,35.6,63
TX-03,Van Taylor (R),R+13,39.9,53.8,34.2,64.3
TX-04,John Ratcliffe (R),R+28,21.6,74.9,24.8,74
TX-05,Lance Gooden (R),R+16,34.2,62.5,34.4,64.5
TX-06,Ron Wright (R),R+9,41.6,53.8,40.8,57.9
TX-07,Lizzie Fletcher (D),R+7,48.2,46.8,38.6,59.9
TX-08,Kevin Brady (R),R+28,23.6,71.9,21.7,77
TX-09,Al Green (D),D+29,79.1,18,78,21.2
TX-10,Michael McCaul (R),R+9,42.8,51.9,38.8,59.1
TX-11,Mike Conaway (R),R+32,19,77.5,19.6,79.2
TX-12,Kay Granger (R),R+18,32.5,62.4,31.7,66.8
TX-13,Mac Thornberry (R),R+33,16.8,79.5,18.5,80.2
TX-14,Randy Weber (R),R+12,38.3,58,39.5,59.3
TX-15,Vicente Gonzalez (D),D+7,56.2,39.7,57.4,41.6
TX-16,Veronica Escobar (D),D+17,67.2,26.9,64.2,34.5
TX-17,Bill Flores (R),R+12,38.4,55.7,37.7,60.4
TX-18,Sheila Jackson Lee (D),D+27,76.2,19.9,76.1,22.8
TX-19,Jodey Arrington (R),R+27,23.3,72,25,73.6
TX-20,Joaquin Castro (D),D+10,60.2,33.9,58.9,39.7
TX-21,Chip Roy (R),R+10,42.1,51.9,37.9,59.8
TX-22,Pete Olson (R),R+10,43.9,51.7,36.7,62.1
TX-23,Will Hurd (R),R+1,49.4,45.9,48.1,50.7
TX-24,Kenny Marchant (R),R+9,44.3,50.5,38,60.4
TX-25,Roger Williams (R),R+11,39.9,54.7,37.8,59.9
TX-26,Michael Burgess (R),R+18,34,60.3,30.7,67.6
TX-27,Michael Cloud (R),R+13,36.4,59.8,38.2,60.5
TX-28,Henry Cuellar (D),D+9,57.8,38.1,60.3,38.7
TX-29,Sylvia Garcia (D),D+19,71,25.4,65.9,33
TX-30,Eddie Bernice Johnson (D),D+29,79.1,18.3,79.6,19.7
TX-31,John Carter (R),R+10,40.1,52.6,38.2,59.6
TX-32,Colin Allred (D),R+5,48.4,46.6,41.5,57
